reference;polymer_type;polymer_type_style;polymer_architecture;polymerisation_type;SMILES_start_group;SMILES_end_group;SMILES_repeating_unitA;molpercent_repeating_unitA;SMILES_repeating_unitB;molpercent_repeating_unitB;SMILES_repeating_unitC;molpercent_repeating_unitC;SMILES_repeating_unitD;molpercent_repeating_unitD;SMILES_repeating_unitE;molpercent_repeating_unitE;Mn;Mw;PDI;mass_characterisation_method;mass_characterisation_standart;polymer_concentration_mass_conc;polymer_concentration_wpercent;additive1;additive1_concentration_molar;additive1_concentration_weight_percent;additive2;additive2_concentration_molar;additive2_concentration_weight_percent;cloud_point;N/A;def_type;pH;identifier;comment;tacticity;rating
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;NaOAc;0,3;;;;;35,9;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;NaOAc;0,4;;;;;34,2;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;NaOAc;0,5;;;;;32,9;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;LiOAc;0,1;;;;;40,8;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;LiOAc;0,2;;;;;39,1;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;LiOAc;0,3;;;;;37,5;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;LiOAc;0,4;;;;;37;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;LiOAc;0,5;;;;;35;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Li2SO4;0,1;;;;;36,7;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Li2SO4;0,2;;;;;31,5;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Li2SO4;0,3;;;;;26;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Na2SO4;0,1;;;;;35,2;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Na2SO4;0,2;;;;;28,6;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Na2SO4;0,3;;;;;21,6;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Na2SO4;0,4;;;;;15,4;;C;;PiPropOx;;;
10.1002/marc.200900843;homo;;linear;CROP;[CH3];[OH];[N](C(=O)C(C)C)C[CH2];1;;;;;;;;;5400;;1,05;SEC(CHCl3);PS;0,005;;Na2SO4;0,5;;;;;11,1;;C;;PiPropOx;;;
10.1002/marc.200900843;random;;graft;RAFT;[C](C#N)(C)(C);[S]C(=S)c1ccccc1;[CH2][C](C)(C(=O)[O][N](C(=O)CC)C[CH2][N](C(=O)CC)C[CH2][N](C(=O)CC)C[CH2][N](C(=O)CC)C[CH2][N](C(=O)CC)CC);1;;;;;;;;;23658;;1,31;SEC(THF);PMMA;0,005;;Na2SO4;0,1;;;;;48,6;;C;;POEtOxMA;;;
10.1002/marc.200900843;random;;graft;RAFT;[C](C#N)(C)(C);[S]C(=S)c1ccccc1;[CH2][C](C)(C(=O)[O][N](C(=O)CC)C[CH2][N](C(=O)CC)C[CH2][N](C(=O)CC)C[CH2][N](C(=O)CC)C[CH2][N](C(=O)CC)CC);1;;;;;;;;;23658;;1,31;SEC(THF);PMMA;0,005;;Na2SO4;0,2;;;;;42,1;;C;;POEtOxMA;;;
